Date,Salinity,Measurements,Initials
16-03-01,28.7,,for DO
16-03-02,28.34,"28.33,28.34,28.35",AD
16-03-04,28.57,"28.52,28.59,28.61",MM
16-03-09,28.44,"28.39,28.48,28.46",AD
16-03-10,28.14,"28.15,28.10,28.16",AD
16-03-11,28.49,"28.50,28.48,28.48",AD
16-03-14,28.24,"28.21,28.27,28.25",AD
16-03-16,28.7,"28.69,28.72,28.72",AD
16-03-17,28.62,"28.42,28.72,28.72",AD
16-03-20,28.54,"28.51,28.54,28.59",AD
16-03-21,28.59,"28.59,28.61,28.57",AD
16-03-23,28.5,"28.48,28.5,28.52",AD
16-03-25,28.44,"28.36,28.47,28.48",DMP
16-03-26,28.59,"28.58,28.57,28.61",AD
16-03-29,28.45,"28.36,28.49,28.5",AD
16-03-30,28.59,"28.59,28.59,28.60",AD
16-03-31,28.62,"28.65,28.61,28.61",AD
16-04-01,28.54,"28.51,28.55,28.55",AD
16-04-05,28.23,"28.24,28.21,28.23",AD
16-04-06,28.36,"28.28,28.31,28.48",AD
16-04-07,28.27,"28.24,28.25,28.31",AD
16-05-23,28.9,,for DO
16-05-24,28.95,,for DO
16-05-27,29.08,,for DO
16-06-03,28.9,,MM
16-06-10,29.42,,DMP
16-06-13,29.31,,AD
16-06-14,29.4,,AD
16-06-16,29.12,,AD
16-06-17,29.25,"29.11,29.33,29.3",AD
16-06-20,29.34,"29.35,29.33,29.35",AD
16-06-21,29.4,,DMP
16-06-23,29.5,,DMP
16-06-26,29.63,"29.63,29.65,29.62",AD
16-06-27,29.62,,DMP
16-06-29,29.75,"29.78,29.72,29.76",AD
16-07-02,29.62,,AD
16-07-05,29.84,"29.84,29.82,29.85",AD
16-07-06,29.76,"29.73,29.78,29.78",AD
16-07-08,29.77,,DMP
16-07-11,29.85,"29.82,29.87,29.87",AD
16-07-12,29.87,,DMP
16-07-13,29.93,"29.89,29.92,29.98",AD
16-07-14,29.73,"29.71,29.74,29.73",AD
16-07-17,29.65,"29.65,29.64,29.67",AD
16-07-18,29.68,,DMP
16-07-20,29.78,"29.79,29.78,29.78",AD
16-07-25,29.94,,DMP
16-07-26,30.03,"30.02,30.03,30.04",AD
16-07-29,29.97,"29.93,29.98,30.01",AD
16-08-01,29.86,"29.82,29.87,29.89",AD
16-08-02,29.95,"29.93,29.97,29.96",AD
16-08-04,30.11,"30.11,30.11,30.12",AD
16-08-07,30.18,"30.15,30.2,30.18",AD
16-08-09,30.17,,DMP
16-08-10,30.21,"30.21,30.22,30.2",AD
16-08-15,30.18,,DMP
16-08-15,29.78,"29.76,29.8,29.79",AD
16-08-16,29.88,"29.88,29.88,29.88",AD
16-08-17,29.91,"29.91,29.92,29.89",AD
16-08-19,29.93,"29.93,29.94,29.92",AD
16-08-22,29.96,"29.94,24.97,29.98",AD
16-08-23,29.96,,for DO-DMP
16-08-25,29.95,,DMP
16-08-29,30.03,,DMP
16-08-31,29.95,"29.93,29.95,29.96",AD
16-09-03,29.76,"29.77,29.75,29.76",AD
16-09-06,30.08,"30.02,30.1,30.11",AD
16-09-09,30.2,"30.21,30.19,30.19",AD
